#Name,Clouds,Precipitation,Precipitation Deposits,Wind,Fog Density,Fog Distance,Wetness,Sun Azimuth Angle,Sun Altitude Angle, Headlights
Clear_Midday,0,0,0,0,0,25,0,0,75,0
Clear_Night,0,0,0,0,0,25,0,0,-75,1
Clear_Sunset,0,0,0,0,0,25,0,0,10,1
#,,,,,,,,,,
Light_Rain_Midday,40,70,70,45,0,25,70,0,75,0
Light_Rain_Night,40,70,70,45,0,25,70,0,-75,1
Light_Rain_Sunset,40,70,70,45,0,25,70,0,10,1
#,,,,,,,,,,
Heavy_Rain_Midday,75,100,100,75,0,0,85,0,75,1
Heavy_Rain_Night,75,100,100,75,0,0,85,0,-75,1
Heavy_Rain_Sunset,75,100,100,75,0,0,85,0,10,1
#,,,,,,,,,,
Rain_Deposits_Midday,25,0,100,25,0,0,100,0,75,0
Rain_Deposits_Night,25,0,100,25,0,0,100,0,-75,1
Rain_Deposits_Sunset,25,0,100,25,0,0,100,0,10,1
#,,,,,,,,,,
Light_Fog_Midday,40,0,0,45,75,15,20,0,75,0
Light_Fog_Night,40,0,0,45,75,15,20,0,-75,1
Light_Fog_Sunset,40,0,0,45,75,15,20,0,10,1
#,,,,,,,,,,
Heavy_Fog_Midday,75,0,0,75,100,8,40,0,75,1
Heavy_Fog_Night,75,0,0,75,100,8,40,0,-75,1
Heavy_Fog_Sunset,75,0,0,75,100,8,40,0,10,1
